kind,database,entity,attribute,type,required,unique,from,to,relation_type,cardinality
attribute,CommerceDemo,Customer,name,VARCHAR(255),true,false,,,,
attribute,CommerceDemo,Customer,email,VARCHAR(255),true,true,,,,
attribute,CommerceDemo,Customer,phone,VARCHAR(20),false,false,,,,
attribute,CommerceDemo,Product,title,VARCHAR(255),true,false,,,,
attribute,CommerceDemo,Product,sku,VARCHAR(255),false,true,,,,
attribute,CommerceDemo,Product,price,"NUMERIC(12,2)",false,false,,,,
attribute,CommerceDemo,Product,stock,INTEGER,false,false,,,,
attribute,CommerceDemo,Category,title,VARCHAR(255),true,false,,,,
attribute,CommerceDemo,Category,code,VARCHAR(255),false,true,,,,
attribute,CommerceDemo,Supplier,name,VARCHAR(255),true,false,,,,
attribute,CommerceDemo,Supplier,phone,VARCHAR(20),false,false,,,,
attribute,CommerceDemo,Order,number,VARCHAR(255),true,true,,,,
attribute,CommerceDemo,Order,date,DATE,false,false,,,,
attribute,CommerceDemo,Order,amount,"NUMERIC(12,2)",false,false,,,,
attribute,CommerceDemo,Payment,amount,"NUMERIC(12,2)",false,false,,,,
attribute,CommerceDemo,Payment,date,DATE,false,false,,,,
attribute,CommerceDemo,Payment,status,VARCHAR(255),false,false,,,,
attribute,CommerceDemo,Delivery,address,VARCHAR(255),false,false,,,,
attribute,CommerceDemo,Delivery,date,DATE,false,false,,,,
attribute,CommerceDemo,Delivery,status,VARCHAR(255),false,false,,,,
relation,CommerceDemo,,,,,,Customer,Order,has,one-to-many
relation,CommerceDemo,,,,,,Order,Product,contains,many-to-many
relation,CommerceDemo,,,,,,Product,Category,belongs_to,many-to-one
relation,CommerceDemo,,,,,,Supplier,Product,has,one-to-many
relation,CommerceDemo,,,,,,Order,Payment,contains,one-to-many
relation,CommerceDemo,,,,,,Order,Delivery,contains,one-to-many
